Teff,log(Teff),log(L/Lo),Spectral Class,Plot Size,Color
44900,4.652,5.82,O,94.45,royalblue
42900,4.632,5.65,O,91.19,royalblue
41400,4.617,5.54,O,89.13,royalblue
40500,4.607,5.44,O,87.31,royalblue
40000,4.602,5.91,O,96.23,royalblue
39500,4.597,5.36,O,85.87,royalblue
39000,4.591,5.31,O,84.99,royalblue
38940,4.59,5.57,O,89.69,royalblue
38300,4.583,5.27,O,84.29,royalblue
38234,4.582,5.44,O,87.31,royalblue
37882,4.578,5.47,O,87.85,royalblue
37800,4.577,5.31,O,84.99,royalblue
37100,4.569,5.18,O,82.73,royalblue
36108,4.558,5.3,O,84.81,royalblue
36100,4.558,5.09,O,81.21,royalblue
35100,4.545,4.99,O,79.54,royalblue
34300,4.535,4.91,O,78.24,royalblue
34190,4.534,5.3,O,84.81,royalblue
33750,4.528,5.34,B,85.52,deepskyblue
33421,4.524,5.55,O,89.32,royalblue
33300,4.522,4.82,O,76.79,royalblue
33300,4.522,5.38,B,86.23,deepskyblue
32489,4.512,5.81,O,94.26,royalblue
32460,4.511,5.24,O,83.77,royalblue
31900,4.504,4.72,O,75.22,royalblue
31400,4.497,4.65,B,74.14,deepskyblue
30839,4.489,5.92,O,96.43,royalblue
30000,4.477,4.46,B,71.28,deepskyblue
29560,4.471,5.27,B,84.29,deepskyblue
29000,4.462,4.43,B,70.83,deepskyblue
28700,4.458,4.23,B,67.96,deepskyblue
27739,4.443,5.93,B,96.63,deepskyblue
26373,4.421,5.3,O,84.81,royalblue
26140,4.417,4.16,B,66.98,deepskyblue
26000,4.415,4.13,B,66.57,deepskyblue
26000,4.415,5.5,B,88.4,deepskyblue
25390,4.405,5.35,O,85.7,royalblue
25070,4.399,4.16,B,66.98,deepskyblue
25000,4.398,-1.25,B,21.86,deepskyblue
24630,4.391,5.56,O,89.5,royalblue
24500,4.389,3.91,B,63.61,deepskyblue
24490,4.389,5.4,B,86.59,deepskyblue
24345,4.386,5.15,O,82.22,royalblue
24145,4.383,5.58,B,89.87,deepskyblue
24020,4.381,-2.8,B,15.86,deepskyblue
23678,4.374,5.39,O,86.41,royalblue
23440,4.37,5.73,O,92.71,royalblue
23095,4.364,5.54,O,89.13,royalblue
23092,4.363,-2.88,B,15.6,deepskyblue
23000,4.362,5.1,O,81.37,royalblue
22350,4.349,4.1,B,66.16,deepskyblue
22012,4.343,3.83,B,62.56,deepskyblue
21904,4.341,5.87,B,95.44,deepskyblue
21738,4.337,5.87,O,95.44,royalblue
21020,4.323,-2.82,B,15.79,deepskyblue
20600,4.314,3.43,B,57.59,deepskyblue
20120,4.304,3.67,B,60.52,deepskyblue
19923,4.299,5.18,O,82.73,royalblue
19920,4.299,-2.81,B,15.82,deepskyblue
19860,4.298,-2.96,B,15.34,deepskyblue
19400,4.288,4.04,B,65.34,deepskyblue
19360,4.287,-2.9,B,15.53,deepskyblue
18734,4.273,5.35,O,85.7,royalblue
18500,4.267,3.2,B,54.91,deepskyblue
18340,4.263,-2.87,B,15.63,deepskyblue
18290,4.262,-2.89,B,15.56,deepskyblue
18000,4.255,5.3,O,84.81,royalblue
17920,4.253,-2.95,B,15.37,deepskyblue
17383,4.24,5.54,O,89.13,royalblue
17200,4.236,-3.01,B,15.18,deepskyblue
17140,4.234,2.95,B,52.14,deepskyblue
17120,4.234,5.37,O,86.05,royalblue
17000,4.23,2.99,B,52.58,deepskyblue
16790,4.225,-2.85,B,15.69,deepskyblue
16787,4.225,5.39,O,86.41,royalblue
16500,4.217,-1.89,B,19.14,deepskyblue
16400,4.215,2.89,B,51.5,deepskyblue
16390,4.215,3.11,B,53.9,deepskyblue
15700,4.196,2.77,B,50.23,deepskyblue
15680,4.195,-2.91,B,15.5,deepskyblue
15276,4.184,3.06,B,53.34,deepskyblue
14982,4.176,-2.93,B,15.44,deepskyblue
14732,4.168,-3.96,F,12.47,white
14520,4.162,-3.09,B,14.93,deepskyblue
14500,4.161,2.57,B,48.2,deepskyblue
14245,4.154,5.36,O,85.87,royalblue
14100,4.149,-3.17,B,14.69,deepskyblue
14060,4.148,3.04,A,53.12,lightskyblue
14000,4.146,2.48,B,47.31,deepskyblue
13720,4.137,-3.74,F,13.05,white
13420,4.128,-3.23,B,14.51,deepskyblue
13340,4.125,-2.96,B,15.34,deepskyblue
13089,4.117,2.9,A,51.61,lightskyblue
13023,4.115,3.0,A,52.68,lightskyblue
12990,4.114,-4.07,F,12.19,white
12984,4.113,-3.06,B,15.03,deepskyblue
12912,4.111,-3.15,B,14.75,deepskyblue
12893,4.11,5.26,O,84.11,royalblue
12749,4.105,5.52,O,88.77,royalblue
12675,4.103,5.66,O,91.38,royalblue
12300,4.09,2.19,B,44.55,deepskyblue
12100,4.083,5.08,B,81.04,deepskyblue
12098,4.083,2.84,A,50.97,lightskyblue
12010,4.08,-3.11,B,14.87,deepskyblue
11900,4.076,-3.17,B,14.69,deepskyblue
11790,4.072,-3.82,F,12.84,white
11567,4.063,5.4,O,86.59,royalblue
11250,4.051,2.83,A,50.86,lightskyblue
11096,4.045,5.05,O,80.54,royalblue
11000,4.041,5.23,B,83.59,deepskyblue
10980,4.041,-3.13,B,14.81,deepskyblue
10930,4.039,5.89,O,95.83,royalblue
10700,4.029,1.86,B,41.61,deepskyblue
10574,4.024,-3.85,F,12.76,white
10400,4.017,1.8,B,41.1,deepskyblue
10012,4.001,2.74,A,49.92,lightskyblue
9892,3.995,5.77,O,93.48,royalblue
9700,3.987,1.58,A,39.27,lightskyblue
9700,3.987,1.87,B,41.7,deepskyblue
9675,3.986,-3.35,A,14.15,lightskyblue
9383,3.972,5.54,O,89.13,royalblue
9373,3.972,5.63,O,90.81,royalblue
9320,3.969,1.46,A,38.3,lightskyblue
9300,3.968,1.49,A,38.54,lightskyblue
9235,3.965,5.61,A,90.43,lightskyblue
9030,3.956,1.65,A,39.84,lightskyblue
8945,3.952,1.58,A,39.27,lightskyblue
8930,3.951,-3.25,A,14.45,lightskyblue
8927,3.951,5.38,O,86.23,royalblue
8924,3.951,-3.55,A,13.58,lightskyblue
8829,3.946,5.73,A,92.71,lightskyblue
8800,3.944,1.38,A,37.67,lightskyblue
8600,3.934,1.23,A,36.52,lightskyblue
8570,3.933,-3.09,A,14.93,lightskyblue
8500,3.929,-3.3,A,14.3,lightskyblue
8250,3.917,1.13,A,35.77,lightskyblue
8250,3.916,0.97,F,34.61,white
8100,3.908,1.09,A,35.48,lightskyblue
8052,3.906,0.94,A,34.39,lightskyblue
7910,3.898,1.05,A,35.19,lightskyblue
7760,3.89,1.0,A,34.82,lightskyblue
7740,3.889,-3.31,A,14.27,lightskyblue
7723,3.888,-3.85,A,12.76,lightskyblue
7720,3.888,0.9,F,34.11,white
7700,3.886,-3.96,F,12.47,white
7590,3.88,0.96,A,34.54,lightskyblue
7400,3.869,0.92,A,34.25,lightskyblue
7282,3.862,5.12,O,81.71,royalblue
7230,3.859,-4.1,F,12.12,white
7220,3.859,0.86,F,33.83,white
7220,3.859,-3.77,F,12.97,white
7100,3.851,-3.54,F,13.61,white
7020,3.846,0.79,F,33.34,white
6850,3.836,5.36,G,85.87,gold
6820,3.834,0.71,F,32.79,white
6757,3.83,0.16,F,29.27,white
6750,3.829,0.67,F,32.52,white
6670,3.824,0.62,F,32.19,white
6550,3.816,0.56,F,31.79,white
6380,3.805,0.13,F,29.08,white
6350,3.803,0.43,F,30.95,white
6280,3.798,0.39,F,30.69,white
6180,3.791,0.29,F,30.06,white
6050,3.782,0.22,F,29.63,white
5990,3.777,0.18,F,29.39,white
5936,3.773,0.13,F,29.08,white
5930,3.773,0.13,G,29.08,gold
5860,3.768,0.08,G,28.78,gold
5800,3.763,-0.09,F,27.79,white
5770,3.761,0.01,G,28.37,gold
5752,3.76,5.39,O,86.41,royalblue
5720,3.757,-0.01,G,28.25,gold
5680,3.754,-0.04,G,28.08,gold
5660,3.753,-0.05,G,28.02,gold
5600,3.748,-0.1,G,27.73,gold
5587,3.747,-0.09,F,27.79,white
5550,3.744,-0.13,G,27.56,gold
5480,3.739,-0.17,G,27.33,gold
5380,3.731,-0.26,G,26.83,gold
5300,3.724,-0.23,F,27.0,white
5270,3.723,-0.34,K,26.39,darkorange
5170,3.713,-0.39,K,26.12,darkorange
5112,3.709,-0.2,K,27.16,darkorange
5100,3.708,-0.43,K,25.9,darkorange
4980,3.697,-0.45,K,25.79,darkorange
4830,3.684,-0.55,K,25.27,darkorange
4600,3.663,-0.69,K,24.54,darkorange
4526,3.656,-0.82,K,23.89,darkorange
4440,3.647,-0.76,K,24.19,darkorange
4300,3.633,-0.86,K,23.69,darkorange
4287,3.632,5.8,K,94.06,darkorange
4100,3.613,-1.0,K,23.02,darkorange
4077,3.61,-1.07,K,22.69,darkorange
4015,3.604,5.45,K,87.49,darkorange
3990,3.601,-1.06,K,22.73,darkorange
3930,3.594,-1.1,K,22.55,darkorange
3850,3.585,-1.16,M,22.27,orangered
3834,3.584,5.43,M,87.13,orangered
3826,3.583,5.3,M,84.81,orangered
3780,3.577,5.3,M,84.81,orangered
3770,3.576,-1.27,M,21.77,orangered
3752,3.574,5.32,M,85.17,orangered
3750,3.574,5.45,M,87.49,orangered
3749,3.574,5.74,M,92.9,orangered
3692,3.567,-2.44,M,17.08,orangered
3660,3.563,-1.39,M,21.23,orangered
3660,3.563,5.56,M,89.5,orangered
3650,3.562,5.49,M,88.22,orangered
3628,3.56,-2.26,M,17.73,orangered
3625,3.559,5.26,M,84.11,orangered
3625,3.559,4.87,M,77.59,orangered
3620,3.559,-1.44,M,21.01,orangered
3615,3.558,5.3,M,84.81,orangered
3614,3.558,5.16,M,82.39,orangered
3610,3.558,5.12,M,81.71,orangered
3607,3.557,-1.66,M,20.08,orangered
3607,3.557,-3.64,M,13.33,orangered
3605,3.557,5.1,M,81.37,orangered
3600,3.556,-2.54,M,16.73,orangered
3600,3.556,5.38,M,86.23,orangered
3600,3.556,5.51,M,88.58,orangered
3598,3.556,-2.57,M,16.63,orangered
3598,3.556,-2.96,M,15.34,orangered
3575,3.553,5.09,M,81.21,orangered
3574,3.553,5.3,M,84.81,orangered
3570,3.553,5.51,M,88.58,orangered
3560,3.551,-1.54,M,20.58,orangered
3553,3.551,5.16,M,82.39,orangered
3550,3.55,-2.4,M,17.23,orangered
3542,3.549,-3.05,M,15.06,orangered
3541,3.549,-2.89,M,15.56,orangered
3535,3.548,5.29,M,84.64,orangered
3531,3.548,-3.03,M,15.12,orangered
3523,3.547,-3.02,M,15.15,orangered
3523,3.547,-2.27,M,17.7,orangered
3511,3.545,-3.19,M,14.63,orangered
3500,3.544,5.14,M,82.05,orangered
3496,3.544,-2.9,M,15.53,orangered
3490,3.543,5.43,M,87.13,orangered
3484,3.542,-3.26,M,14.42,orangered
3470,3.54,-1.64,M,20.16,orangered
3463,3.539,-2.57,M,16.63,orangered
3462,3.539,-2.28,M,17.66,orangered
3459,3.539,5.0,M,79.71,orangered
3453,3.538,-3.21,M,14.57,orangered
3450,3.538,5.24,M,83.77,orangered
3450,3.538,5.42,M,86.95,orangered
3441,3.537,-1.41,M,21.14,orangered
3432,3.536,-3.17,M,14.69,orangered
3430,3.535,-1.79,M,19.55,orangered
3419,3.534,-3.61,M,13.41,orangered
3399,3.531,5.07,M,80.87,orangered
3365,3.527,5.53,M,88.95,orangered
3345,3.524,-1.68,M,20.0,orangered
3342,3.524,-2.82,M,15.79,orangered
3341,3.524,-2.25,M,17.77,orangered
3340,3.524,-2.42,M,17.16,orangered
3324,3.522,-2.47,M,16.98,orangered
3324,3.522,-2.19,M,17.99,orangered
3323,3.522,-3.37,M,14.09,orangered
3304,3.519,-2.07,M,18.44,orangered
3295,3.518,-3.01,M,15.18,orangered
3270,3.515,5.18,M,82.73,orangered
3270,3.515,-2.03,M,18.6,orangered
3257,3.513,-2.62,M,16.46,orangered
3243,3.511,-2.64,M,16.39,orangered
3225,3.509,-3.12,M,14.84,orangered
3218,3.508,-3.34,M,14.18,orangered
3218,3.508,-3.27,M,14.39,orangered
3212,3.507,-2.8,M,15.86,orangered
3210,3.507,-2.14,M,18.18,orangered
3200,3.505,5.29,M,84.64,orangered
3192,3.504,-2.44,M,17.08,orangered
3180,3.502,-3.0,M,15.21,orangered
3158,3.499,-2.87,M,15.63,orangered
3150,3.498,-2.06,M,18.48,orangered
3146,3.498,-3.82,M,12.84,orangered
3142,3.497,-2.88,M,15.6,orangered
3134,3.496,-3.4,M,14.01,orangered
3129,3.495,-1.91,M,19.07,orangered
3110,3.493,-2.4,M,17.23,orangered
3100,3.491,-2.1,M,18.33,orangered
3095,3.491,-3.72,M,13.11,orangered
3091,3.49,-2.09,M,18.37,orangered
3068,3.487,-2.62,M,16.46,orangered
3060,3.486,-2.52,M,16.8,orangered
3042,3.483,-3.3,M,14.3,orangered
3008,3.478,5.45,M,87.49,orangered
2994,3.476,-2.14,M,18.18,orangered
2989,3.476,-2.06,M,18.48,orangered
2983,3.475,-3.62,M,13.38,orangered
2968,3.472,-3.34,M,14.18,orangered
2945,3.469,-3.49,M,13.75,orangered
2935,3.468,-3.85,M,12.76,orangered
2935,3.468,-3.06,M,15.03,orangered
2930,3.467,-2.79,M,15.89,orangered
2914,3.464,-3.2,M,14.6,orangered
2890,3.461,-2.47,M,16.98,orangered
2889,3.461,-3.45,M,13.86,orangered
2871,3.458,-3.14,M,14.78,orangered
2861,3.457,-3.72,M,13.11,orangered
2856,3.456,-3.05,M,15.06,orangered
2840,3.453,-3.19,M,14.63,orangered
2835,3.453,-3.47,M,13.8,orangered
2831,3.452,-3.64,M,13.33,orangered
2817,3.45,-3.01,M,15.18,orangered
2810,3.449,-2.98,M,15.28,orangered
2800,3.447,-3.7,M,13.16,orangered
2799,3.447,-2.74,M,16.06,orangered
2778,3.444,-3.07,M,15.0,orangered
2774,3.443,-3.44,M,13.89,orangered
2740,3.438,-3.1,M,14.9,orangered
2731,3.436,-3.36,M,14.12,orangered
2700,3.431,-3.74,M,13.05,orangered
2680,3.428,-3.19,M,14.63,orangered
2650,3.423,-3.16,M,14.72,orangered
2650,3.423,-3.22,M,14.54,orangered
2637,3.421,-3.14,M,14.78,orangered
2630,3.42,-3.24,M,14.48,orangered
2621,3.418,-3.22,M,14.54,orangered
2600,3.415,-3.4,M,14.01,orangered
2600,3.415,-3.52,M,13.66,orangered
2570,3.41,-3.28,M,14.36,orangered
2420,3.384,-3.47,M,13.8,orangered
2380,3.377,-3.52,M,13.66,orangered
2350,3.371,-3.57,M,13.52,orangered
2270,3.356,-3.6,L,13.44,tomato
2160,3.334,-3.71,L,13.13,tomato
2060,3.314,-3.82,L,12.84,tomato
1939,3.288,-3.86,M,12.73,orangered
1920,3.283,-3.96,L,12.47,tomato
1870,3.272,-4.01,L,12.34,tomato
1710,3.233,-4.2,L,11.87,tomato
1550,3.19,-4.38,L,11.43,tomato
1530,3.185,-4.41,L,11.36,tomato
1420,3.152,-4.55,L,11.04,tomato
1370,3.137,-4.61,L,10.9,tomato
1255,3.099,-4.66,T,10.79,saddlebrown
1240,3.093,-4.69,T,10.72,saddlebrown
1220,3.086,-4.73,T,10.63,saddlebrown
1200,3.079,-4.77,T,10.55,saddlebrown
1180,3.072,-4.84,T,10.4,saddlebrown
1170,3.068,-4.9,T,10.27,saddlebrown
1160,3.064,-4.95,T,10.16,saddlebrown
1040,3.017,-5.04,T,9.97,saddlebrown
950,2.978,-5.12,T,9.81,saddlebrown
825,2.916,-5.37,T,9.31,saddlebrown
750,2.875,-5.54,T,8.99,saddlebrown
680,2.833,-5.71,T,8.68,saddlebrown
600,2.778,-5.93,T,8.3,saddlebrown
560,2.748,-6.15,T,7.93,saddlebrown
